blue_gold,blue_xp,blue_barons,blue_dragons,blue_towers,blue_inhibitors,blue_riftHeralds,blue_champions,blue_atakhans,blue_hordes,red_gold,red_xp,red_barons,red_dragons,red_towers,red_inhibitors,red_riftHeralds,red_champions,red_atakhans,red_hordes,label
48753,65645,0,1,4,0,0,12,0,3,58486,76951,1,3,9,2,1,33,1,3,0
74737,97250,2,3,10,2,1,33,1,6,68139,81745,0,2,8,2,0,27,0,0,1
75629,93432,2,2,5,0,1,47,1,6,73884,92521,0,3,8,1,0,58,0,0,0
50325,56851,0,3,11,2,1,29,0,5,38146,46835,0,0,1,0,0,9,0,1,1
43393,47159,0,0,2,0,0,21,0,1,55535,65710,0,3,10,2,1,43,1,5,0
96230,113231,0,2,9,3,1,45,1,5,102715,132550,2,4,9,1,0,58,0,1,1
34313,40424,0,0,0,0,0,13,0,0,44053,48982,0,2,5,0,1,30,0,6,0
52777,67678,0,2,9,1,0,33,1,4,41157,51687,0,1,1,0,1,14,0,2,1
59945,74834,1,2,10,1,1,37,0,3,50855,66490,0,2,1,0,0,20,1,3,1
43045,41763,0,0,11,3,0,31,0,6,25839,32247,0,0,0,0,0,9,0,0,1
58562,64444,0,2,10,2,1,45,1,3,43419,51226,0,1,1,0,0,27,0,3,1
79540,99662,2,2,11,4,0,53,0,2,71699,89656,0,3,6,0,1,45,1,4,1
32221,34549,0,2,2,0,0,19,0,6,25661,28952,0,0,0,0,0,8,0,0,1
44484,49315,0,1,4,0,1,33,0,6,37399,42580,0,1,0,0,0,20,0,0,1
69067,102363,0,0,4,2,0,75,0,0,62301,89597,0,0,0,0,0,57,0,0,1
36846,37828,0,2,2,0,0,30,0,6,29063,31724,0,0,0,0,0,15,0,0,1
64172,79924,0,3,9,2,1,44,1,6,58256,71393,0,1,2,0,0,31,0,0,1
79800,124810,0,0,1,0,0,74,0,0,81414,135122,0,0,4,2,0,82,0,0,0
74126,90135,1,4,10,2,0,47,1,3,68990,78000,0,1,4,0,1,43,0,3,1
61214,77118,1,2,7,1,1,38,1,6,57890,69419,0,2,5,0,0,32,0,0,1
34690,36104,0,0,0,0,0,20,0,3,45313,47132,0,2,7,1,0,31,0,3,0
63276,70441,0,3,9,2,0,44,0,1,54474,63077,0,1,4,0,1,25,1,5,1
57003,75101,1,3,7,1,0,32,1,2,51092,58849,0,1,5,0,1,19,0,4,1
53793,61280,0,2,5,0,1,32,0,6,59891,76641,1,1,7,1,0,45,1,0,0
45911,53486,0,0,0,0,0,29,0,2,57411,65593,0,3,10,2,1,54,1,2,0
