summonerId,puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
CDwMpZ8TpFS8Q_3E7ueD_4wIEDCx34rh2gkyVWVp26g6SoE,Eorg2MLpg_bYwRpTBSa4FfSIrx1D8XtxVaN0dlfR7nTu_ihI5ct9WTyQi5K3g2AmIzw9RQdazyd-YQ,1210,I,192,171,True,False,False,False
4DeZoHKKEaYAkC0W5cHT18w-KhLC8fVpXDKXwSRBgGZ0L3c,F4_yLnZJnxGuEeR9alp_GjnzDvvJV7oQ__pCDG97n5CFTnEGRZf4nWDtjmaB_DemqGWrOoxsJogQrQ,1209,I,122,85,False,False,False,False
8ML5fg1xT6V_1Lt_N4E6K9mNVSiCRsHmjcLhQ-kWXAHUyBc,Q1FT_9AKKYZzWAbp-XK-2NQokgicLCcXvG30j2S50RHjgzkD2C-ap8WL0Cl3ESuq7IjSpdzCYHjs0Q,1206,I,130,90,True,False,False,True
xAe2_ZPr3kTSvK2dIbii3uSFIRdHl8eX3FTFKN6UtY2cDluD,qPOoYoa4MDKcVQMZIJjfeEdrEYla7i_Z99dVVNkrfFQbFnJNg85sG_NoP5QfzzkrHsGbgAC_fMis0w,1205,I,267,237,True,False,False,False
-SVPKDkYCRD1r_cg4Ukj1yS_O-p3qq0AoXeaOrMVipX57JQ,J5nAvRYjkQtdd3xE3R5YoMtC5fLbcmOfU0XTIvfv8fvpIZKRN15tS_QW0H-iPuRElj2ID7bDbFgyxA,1194,I,202,181,True,False,False,False
crSbnSN0MtsS9QHmtMD_QJin-0yVRfA0iOtYnBY-G9Euhl9k,6VPvkkX3niccUBtXIosePDdZ4D53M6ciRhk7JLLkDNh6ujwQYp1gMW7NNTDOc050IgqTwF0SuT7UXA,1191,I,146,116,True,False,False,False
Bfh_kJoG-2ganQCR0a2ru7EIiyolaxzg8_9DuEbncPAFyCCRg5AlZgbZ_Q,bUC_NOJYLBnPHFAtTfBjctUS1fsTcNS3zOCD1ZG44Mtl6ZUNe1xeN2AWQmAZMmLpSokxiQ0WK3oDJw,1190,I,176,142,True,False,False,False
zfACgD9G7ifgWSPB5Ru8xhViAzZ8hMvNL7I8KgAG6eHZE9g,mgsM3ZOjZ5T0dOB_j6t3CVlOZUQWb8qlohl6XktqnjiVc1aM920rNXyD99edeZGwGH3kD14dvPO8cw,1186,I,388,349,True,False,False,True
4kf_XczWUUU8VEst3-rQu-7tT7fA1qk1B3mrADw5M2zKALmgW8pQAo7NYA,e_Wq6eqgOB5BNPUdBCAQbGSlx9_2W7EiOHwXc9rlYtw9Loj05RtR6GnaYVM5-aaQupkmixzDwLs0cw,1186,I,102,66,False,False,False,False
klB0ICcB48Gpmmp1gUZBhJT-njEOXltJsOOevIUfu1v4OAU,7JBEJWVhky9E8-wR5QqJdFZgP0bEuFS8uUMo5i8Mj0iJBT2Njdi-tejnmLmui9l7U9uetoj18OrIlQ,1185,I,153,127,True,False,False,False
6w4tM2KRUtSva63SD9YmsWMcrz8L_Ln8QFVPruAv_CqCbY4,P3S_5OxIuBJ88u0U0VTl_s82Yq8sojf-Oi03RvNm6q_fBXpeNt1_PXu0H-tMICamD7QN5aONVc4ymw,1185,I,147,108,True,False,False,False
fAolavuhBU1BsDCzWGp9TrDg0lmTIR5sLHviKoced3yzoWmQBC1hbgbraw,kT6cmSUYqUCveF4hjCZ-qtjR8CIZhn4Yqn7qIbu8ZXInKATkxk5EMuN3trjJ-ebNEg3Pfvi4jjQzbQ,1184,I,270,246,True,False,False,False
yfNURdXGFqee1QUevsLu7r5pDOl2aLkPJqxicL6fRnxrj5X0,VR3zruAtKGFD7yKReb44wz2ktmuc-Ijsz-o1--PStdU3zZWFoM9yK58eSCOYAHuGsi2CDEhxvpPvYw,1182,I,259,228,False,False,False,False
koaN26AbcLwu7SM_NIsMa2g2yAJHYw52lN4sNbgYtykRCoQ,NGVU251Q7aXVJhG4tethq2oGY3fRYPzDWF2XPNh8ASCzH3oISTNdGYcLu6uBfjFY0dkeXupdK7DciA,1178,I,125,94,False,False,False,False
x8GOYt_ohIyDWXfZ7q30LRFHv-PtfgsbM5pJpbBy7_Kf_bI,VbwJrUlsCcBMStwMZndjKeeyy70-rVEsYd4gzbiFQB--tYr6YzdnqRVKYXwkreCFTyco0tmjbnpjDw,1165,I,85,53,False,False,False,False
NN882Alaa6ukew7TcpjpAk79as9WQLoG_cbe94-bjvknUeI,geZs7-gspWn3LlyyflOpNYFyXY5y9Z-3SlbfErn16M7Xwp6pyL0gNUUH6nGDbNdvsum8tO5HkxrhxQ,1159,I,175,139,True,False,False,False
feKnSEy32iclQ0LUmDdJaQTuvoVumcaMvzm26D8uAnOId8g,yt5UZwHBSXNn8QkSrp7MCdjsLt0DfKzhOorfBPCLJmoqeNHPb7pwzx0729FxEEbvrdvaJF1-8cUcBA,1156,I,187,147,True,False,False,False
